Year,Site,Stage,Period,Biomass_mean,Biomass_sd
2013,PGN1,A,0,531.8888889,214.2425647
2013,PGN1,A,24,34,17.10750323
2013,PGN1,A,48,0,0
2013,PGN1,J,0,4.773,2.203380417
2013,PGN1,J,24,1.7535,1.504373536
2013,PGN1,J,48,0.085,0.380131556
2013,PGN2,A,0,415.5,151.5646177
2013,PGN2,A,24,91.7,115.2977305
2013,PGN2,A,48,5.8,18.34121043
2013,PGN2,J,0,3.858,2.484526006
2013,PGN2,J,24,2.955,2.028664326
2013,PGN2,J,48,0.085,0.380131556
2019,PGN1,A,0,520.5,174.8346838
2019,PGN1,A,24,319.2857143,219.4908611
2019,PGN1,A,48,140.8571429,107.2760125
2019,PGN1,J,0,8.9,6.789698079
2019,PGN1,J,24,8.714285714,5.282495803
2019,PGN1,J,48,4.357142857,4.150444612
2019,PGN2,A,0,515.6,194.5851427
2019,PGN2,A,24,156.7,198.4378156
2019,PGN2,A,48,50.8,49.00068027
2019,PGN2,J,0,12.3,6.32543367
2019,PGN2,J,24,4.333333333,7.778174593
2019,PGN2,J,48,3.388888889,6.293735863
